rank,name,admin,country,population,slug,lat,lon,geonameid,feature_code
61,Tampa,FL,US,414547,tampa-fl,27.94752,-82.45843,4174757,PPLA2
62,Tulsa,OK,US,413066,tulsa-ok,36.15398,-95.99277,4553433,PPLA2
63,Minneapolis,MN,US,410939,minneapolis-mn,44.97997,-93.26384,5037649,PPLA2
64,Wichita,KS,US,396119,wichita-ks,37.69224,-97.33754,4281730,PPLA2
65,Arlington,TX,US,388125,arlington-tx,32.73569,-97.10807,4671240,PPL
66,Bakersfield,CA,US,373640,bakersfield-ca,35.37329,-119.01871,5325738,PPLA2
67,Cleveland,OH,US,365379,cleveland-oh,41.4995,-81.69541,5150529,PPLA2
68,New Orleans,LA,US,362701,new-orleans-la,29.95465,-90.07507,4335045,PPLA2
69,Aurora,CO,US,359407,aurora-co,39.72943,-104.83192,5412347,PPL
70,Honolulu,HI,US,350964,honolulu-hi,21.30694,-157.85833,5856195,PPLA
71,Anaheim,CA,US,350742,anaheim-ca,33.83529,-117.9145,5323810,PPL
72,Markham,ON,CA,338503,markham-on,43.86682,-79.2663,6066513,PPL
73,Orlando,FL,US,334854,orlando-fl,28.53834,-81.37924,4167147,PPLA2
74,Vaughan,ON,CA,323103,vaughan-on,43.8361,-79.49827,6173577,PPL
75,Lexington,KY,US,320347,lexington-ky,37.98869,-84.47772,4297983,PPLA2
76,Riverside,CA,US,317261,riverside-ca,33.95335,-117.39616,5387877,PPLA2
77,Corpus Christi,TX,US,316239,corpus-christi-tx,27.80058,-97.39638,4683416,PPLA2
78,Lexington-Fayette,KY,US,314488,lexington-fayette-ky,38.0498,-84.45855,4297999,PPL
79,Cincinnati,OH,US,311097,cincinnati-oh,39.12711,-84.51439,4508722,PPLA2
80,Santa Ana,CA,US,310227,santa-ana-ca,33.74557,-117.86783,5392900,PPLA2
81,Stockton,CA,US,305658,stockton-ca,37.9577,-121.29078,5399020,PPLA2
82,Pittsburgh,PA,US,304391,pittsburgh-pa,40.44062,-79.99589,5206379,PPLA2
83,Saint Paul,MN,US,303176,saint-paul-mn,44.94441,-93.09327,5045360,PPLA
84,Gatineau,QC,CA,300045,gatineau-qc,45.47723,-75.70164,5959974,PPL
85,Lincoln,NE,US,294757,lincoln-ne,40.8,-96.66696,5072006,PPLA
86,Victoria,BC,CA,289625,victoria-bc,48.4359,-123.35155,6174041,PPLA
87,Anchorage,AK,US,289600,anchorage-ak,61.21806,-149.90028,5879400,PPLA2
88,Meads,KY,US,288649,meads-ky,38.41258,-82.70905,4300488,PPL
89,Henderson,NV,US,285667,henderson-nv,36.0397,-114.98194,5505411,PPL
90,Greensboro,NC,US,285342,greensboro-nc,36.07264,-79.79198,4469146,PPL
91,Plano,TX,US,283558,plano-tx,33.01984,-96.69889,4719457,PPL
92,Newark,NJ,US,281944,newark-nj,40.73566,-74.17237,5101798,PPLA2
93,Madison,WI,US,280305,madison-wi,43.07305,-89.40123,5261457,PPLA
94,St. Louis,MO,US,279695,st-louis-mo,38.62727,-90.19789,4407066,PPLA2
95,Saskatoon,SK,CA,266141,saskatoon-sk,52.13238,-106.66892,6141256,PPL
96,Chula Vista,CA,US,265757,chula-vista-ca,32.64005,-117.0842,5336899,PPL
97,Toledo,OH,US,265638,toledo-oh,41.66394,-83.55521,5174035,PPLA2
98,Jersey City,NJ,US,264290,jersey-city-nj,40.72816,-74.07764,5099836,PPLA2
99,Reno,NV,US,264165,reno-nv,39.52963,-119.8138,5511077,PPLA2
100,Chandler,AZ,US,260828,chandler-az,33.30616,-111.84125,5289282,PPL
101,Fort Wayne,IN,US,260326,fort-wayne-in,41.1306,-85.12886,4920423,PPLA2
102,Buffalo,NY,US,258071,buffalo-ny,42.88645,-78.87837,5110629,PPLA2
103,Durham,NC,US,257636,durham-nc,35.99403,-78.89862,4464368,PPLA2
104,St. Petersburg,FL,US,257083,st-petersburg-fl,27.77086,-82.67927,4171563,PPL
105,Irvine,CA,US,256927,irvine-ca,33.66946,-117.82311,5359777,PPL
106,Kitchener,ON,CA,256885,kitchener-on,43.42537,-80.5112,5992996,PPL
107,Laredo,TX,US,256153,laredo-tx,27.50641,-99.50754,4705349,PPLA2
108,Burnaby,BC,CA,249125,burnaby-bc,49.26636,-122.95263,5911606,PPL
109,Lubbock,TX,US,249042,lubbock-tx,33.57786,-101.85517,5525577,PPLA2
110,Gilbert,AZ,US,247542,gilbert-az,33.35283,-111.78903,5295903,PPL
111,Winston-Salem,NC,US,241218,winston-salem-nc,36.09986,-80.24422,4499612,PPLA2
112,Glendale,AZ,US,240126,glendale-az,33.53865,-112.18599,5295985,PPL
113,Norfolk,VA,US,238005,norfolk-va,36.84681,-76.28522,4776222,PPLA2
114,Hialeah,FL,US,237069,hialeah-fl,25.8576,-80.27811,4158476,PPL
115,Garland,TX,US,236897,garland-tx,32.91262,-96.63888,4693003,PPL
116,Scottsdale,AZ,US,236839,scottsdale-az,33.50921,-111.89903,5313457,PPL
117,Irving,TX,US,236607,irving-tx,32.81402,-96.94889,4700168,PPL
118,Boise,ID,US,235684,boise-id,43.6135,-116.20345,5586437,PPLA
119,Chesapeake,VA,US,235429,chesapeake-va,36.81904,-76.27494,4752186,PPLA2
120,North Las Vegas,NV,US,234807,north-las-vegas-nv,36.19886,-115.1175,5509403,PPL
121,Fremont,CA,US,232206,fremont-ca,37.54827,-121.98857,5350734,PPL
122,Windsor,ON,CA,229660,windsor-on,42.30008,-83.01654,6182962,PPL
123,Spokane,WA,US,229447,spokane-wa,47.65966,-117.42908,5811696,PPLA2
124,Longueuil,QC,CA,229330,longueuil-qc,45.5152,-73.46818,6059891,PPL
125,Baton Rouge,LA,US,227470,baton-rouge-la,30.44332,-91.18747,4315588,PPLA
